candy_name,ingredients
Abba-Zabba,"Corn syrup, sugar, peanut butter, dextrose, hydrogenated vegetable oil, soy lecithin, salt, mono, diglycerides"
Airheads,"sugar, corn syrup, maltodextrin, dextrose, modified food starch, partially hydrogenated soybean oil, citric acid, artificial flavors, blue 1, red 40, yellow 5, yellow 6"
Andes Mint,"Sugar, Palm Kernel And Palm Oil, Cocoa, Nonfat Milk, Lactose, Milk Protein Concentrate, Soy Lecithin, Natural And Artificial Flavors, Peppermint Oil,Yellow 5 Lake, Blue 1 Lake"
Atomic Fireball,"Sugar, Modified Food Starch, Artificial Flavor, Carnauba Wax, Acacia, Titanium Dioxide, Red 40 Lake"
Bazooka Gum,"SUGAR, GUM BASE, GLUCOSE SYRUP, NATURAL & ARTIFICIAL FLAVORS, GLYCERINE, CITRIC ACID, TITANIUM DIOXIDE, BHT, RED 40 LAKE, RED 40"
Big Hunk,"Corn syrup, sugar, peanuts, honey, dried egg whites, coconut oil, salt, artificial flavor, soy lecithin"
Bit-O-Honey,"Corn syrup, sugar, water, hydrogenated coconut oil, nonfat milk, almonds, honey, salt, egg whites, canola and/or safflower and/or palm oil, modified soy protein, natural flavor, TBHQ and citric acid"
Black Cow,"Corn syrup, sweetened condensed skim milk, sugar, high fructose corn syrup, partially hydrogenated coconut oil, chocolate liquor, whey powder, salt, calcium caseinate, distilled monoglycerides, artificial flavors, soy lecithin"
Black Jack Gum,"Sugar, gum base, glucose syrup, artificial licorice flavor, glycerin, soy lecithin, artificial coloring, FD&C blue 2, FD&C red 40, FD&C yellow 6"
Blow Pop,"Sugar, Corn Syrup, Gum Base, Citric Acid, Starch, Artificial Flavors, Glycerin, Artificial Colors, Turmeric Coloring, BHT"
Boston Baked Beans,"Sucrose, Peanuts, Corn Syrup, Modified Food Starch, Gum Acacia, Artificial Flavor, Confectioner's Glaze, Carnauba Wax, Red 40, Yellow 5, Yellow 6 and Blue 2"
Bottle Caps,"Dextrose, Maltodextrin,Calcium Stearate, Malic Acid, Phosphoric Acid, Artificial Flavors, Caramel Color, Blue 1 Lake, Blue 2 Lake, Red 40 Lake, Yellow 5 Lake, Yellow 6 Lake"
Bubble Tape,"SUGAR, GUM BASE, CORN SYRUP,GLYCEROL, CITRIC ACID, NATURAL AND ARTIFICIAL FLAVORS, SOY LECITHIN, ACESULFAME K, ASPARTAME, RED 40, RED 40 LAKE,BHT"
Cadbury Egg,"MILK CHOCOLATE,CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, SUGAR, NONFAT MILK, PALM OIL, ARTIFICIAL FLAVOR, SALT, SOY LECITHIN, SODIUM CARBONATE"
Candy Buttons,"gelatin, food coloring, and artificial flavors"
Candy Cigarettes,"Dextrose, corn starch, corn syrup, tapioca, beef gelatin, artificial flavors"
Candy Corn,"Sugar, Corn Syrup, Confectioner's Glaze, Salt, Dextrose, Gelatin, Sesame Oil, Artificial Flavor, Honey, Yellow 6, Yellow 5, Red 3"
Candy Necklace,"DEXTROSE, CORN SYRUP, MALIC ACID, MAGNESIUM STEARATE, ARTIFICIAL FLAVORS, YELLOW 5, YELLOW 6, BLUE 1 AND 2, RED40"
Charleston Chew,"Corn Syrup, Sugar, Palm Kernel and Palm Oil, Nonfat Dry Milk, Cocoa, Lactose, Milk Protein Concentrate, Egg Albumen, Artificial Flavor, Soy Lecithin, Soy Protein, Salt, Sodium Citrate"
Charms,"Whole Oat Flour,sugar, modified corn starch, corn syrup, dextrose, gelatin, artificial flavor, Sugar, Corn Syrup, Corn Starch, Salt, Calcium Carbonate, Color Added, Trisodium Phosphate, Zinc and Iron, Vitamin C, A B Vitamin, Artificial Flavor, Vitamin B6, Vitamin B2, Vitamin B1, Vitamin A, A B Vitamin, Vitamin B12, Vitamin D, Wheat Starch, Vitamin E"
Chick-O-Stick,"Sugar, Corn syrup, peanut butter, corn syrup, salt, BHT, toasted coconut-contains sodium metabisulfite-a preservative, citric acid, sodium bicarbonate, titanium dioxide, artificial flavor, color includes yellow 5, red 40, blue 1, nonfat dry milk powder, soy lecithin"
Chiclets,"Sugar, Gum Base, Glucose Syrup, Modified Food Starch, Artificial and Natural Flavoring, Corn Oil, Candelilla Wax, BHT, Red 40, Yellow 6 , Yellow 5, Blue 2, and Blue 1"
Chuckles,"Corn Syrup, Sugar, Cornstarch, Modified Food Starch, Natural and Artificial Flavors, Red 40, Caramel Color, Yellow 6, Blue 1, Yellow 5"
Cinnamon Bears,"Corn Syrup, Sugar, Modifed Food Starch, Cornstarch, Hydrogenated Coconut Oil, Carnauba Wax, Natural and Artificial Flavor, Beeswax, Artificial Red 40"
Circus Peanuts,"Sugar, Corn Syrup, Gelatin, Pectin, Artificial Flavor, Includes Yellow 6, Yellow 5, Red 40"
Cow Tales,"Wheat flour, corn syrup, dextrose, sugar, partially hydrogenated soybean oil, high fructose corn syrup, modified whey, skim milk, cream, mono & diglycerides, salt, soy lecithin, corn starch, and artificial flavors"
Crybabies,"Sugar, Dextrose, Corn Syrup, Gum Base, Citric Acid, Tapioca Dextrin, Artificial Flavors, FD&C Red 40, Blue 1, Yellow 5, Yellow 6, Corn Starch, BHT"
Dots,"Corn syrup, sugar, food starch-modified, malic acid, natural and artificial flavors, sodium citrate, and artificial colors"
Dum Dums Pop,"Sugar, Corn Syrup, Citric Acid, Malic Acid, Salt, Artificial Flavor, Includes Red 40, Yellow 6, Yellow 5, Blue 1"
Everlasting Gobstopper,"Dextrose, Maltodextrin,Corn Syrup, Malic Acid, Calcium Stearate, Carnauba Wax, Artificial Flavors, Blue 1, Blue 2 Lake, Red 40 Lake, Yellow 5, Yellow 5 Lake. Yellow 6"
Fun Dip,"Dextrose, Maltodextrin,Citric Acid, Calcium Stearate, Artificial Flavors, Blue 1, Blue 1 Lake, Blue 2 Lake, Red 40 Lake, Yellow 5"
Good and Plenty,"Sugar, Corn Syrup, Wheat Flour, Molasses,Licorice Extract, Gum Acacia, Salt, Caramel Color, Modified Cornstarch, K-Carmine and Red 40, Resinous Glaze, Anise Oil, Carnauba Wax, Artificial Flavor, and Sulfur Dioxide"
Googoo Cluster,"dry roasted peanuts, dextrose, hydrogenated cottonseed, rapeseed oil and salt, sugar, peanuts, dextrose, cocoa butter, fractionated palm kernel oil, chocolate liquor, whole milk powder, soy lecithin, cocoa, whey powder, non fat dry milk, salt, cornstarch, natural flavor, peanut flour, soy protein isolate, wheat starch, almond flour, pecans, walnuts, cashews, hazelnuts"
Gum Cigars,"Sugar, gum base, corn syrup, artificial flavors, glycerine, soy lecithin, FD&C Red 40, Red 40 Lake, Blue 1, Yellow 5, Yellow 6, BHT"
Gumdrops,"Corn Syrup, Sugar, Food Starch-Modified, Malic Acid, Natural And Artificial Flavors, Sodium Citrate, FD&C Red 40, Yellow 5, Blue 1"
Gummi Bears,"Sugar, Corn Syrup, White Grape Juice from Concentrate, Gelatin, Citric Acid, Sorbitol, Natural and Artificial Flavors, Carnauba Wax, Red 40, Yellow 6, Yellow 5, Blue 1"
Gushers,"sugar, partially hydrogenated cottonseed oil, maltodextrin, cottonseed oil, Pure Addiction addictacain carrageenan, citric acid, glycerin, monoglycerides, sodium citrate, malic acid, ascorbic acid, natural flavor, potassium citrate, agar-agar, Red 40, xanthan gum"
Hershey's Kiss,"Sugar, Milk, Chocolate, Cocoa Butter, Lactose, Milk Fat, Soy Lecithin and Ppgr, Vanillin"
Hot Tamales,"Sugar, Corn Syrup, Modified Food Starch, Pear Juice From Concentrate, Sodium Citrate, Pectin, Citric Acid, Malic Acid, Fumaric Acid, Confectioners Glaze, Carnauba Wax, White Mineral Oil, Artificial Flavors, Artificial Color, Magnesium Hydroxide, Red No. 3, Red No"
