candy_name,ingredients,image_url,,,,,,,,,,,,,,,,,,,,,,,
Abba-Zabba,"Corn syrup, sugar, peanut butter, dextrose, hydrogenated vegetable oil, soy lecithin, salt, mono, diglycerides","https://isteam.wsimg.com/ip/0a3e7fb1-106a-11e5-9066-14feb5da1938/ols/2_original/:/rs=w:600,h:600",,,,,,,,,,,,,,,,,,,,,,,
Airheads,"sugar, corn syrup, maltodextrin, dextrose, modified food starch, partially hydrogenated soybean oil, citric acid, artificial flavors, blue 1, red 40, yellow 5, yellow 6",https://images-na.ssl-images-amazon.com/images/I/91-ZY%2BqvHPL._SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,
Andes Mint,"Sugar, Palm Kernel And Palm Oil, Cocoa, Nonfat Milk, Lactose, Milk Protein Concentrate, Soy Lecithin, Natural And Artificial Flavors, Peppermint Oil,Yellow 5 Lake, Blue 1 Lake",https://www.ruralking.com/media/catalog/product/cache/85a2ff1fd26a63a70fc941a4bb756a97/5/7/576e46c29375fe7b515644bf594ac28530e5b289_148710010_148710010_image_148710010.jpg,,,,,,,,,,,,,,,,,,,,,,,
Atomic Fireball,"Sugar, Modified Food Starch, Artificial Flavor, Carnauba Wax, Acacia, Titanium Dioxide, Red 40 Lake",https://images-na.ssl-images-amazon.com/images/I/51Ebb00q%2BHL.jpg,,,,,,,,,,,,,,,,,,,,,,,
Bazooka Gum,"SUGAR, GUM BASE, GLUCOSE SYRUP, NATURAL & ARTIFICIAL FLAVORS, GLYCERINE, CITRIC ACID, TITANIUM DIOXIDE, BHT, RED 40 LAKE, RED 40",https://images-na.ssl-images-amazon.com/images/I/8124HvIhxDL._SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,
Big Hunk,"Corn syrup, sugar, peanuts, honey, dried egg whites, coconut oil, salt, artificial flavor, soy lecithin",https://i.pinimg.com/originals/52/a9/fb/52a9fb5fd178127521ea38af537bb3ff.jpg,,,,,,,,,,,,,,,,,,,,,,,
Bit-O-Honey,"Corn syrup, sugar, water, hydrogenated coconut oil, nonfat milk, almonds, honey, salt, egg whites, canola and/or safflower and/or palm oil, modified soy protein, natural flavor, TBHQ and citric acid",https://troyerscountrymarket.com/images/detailed/2/blogs.mprnews.com_.jpg,,,,,,,,,,,,,,,,,,,,,,,
Black Cow,"Corn syrup, sweetened condensed skim milk, sugar, high fructose corn syrup, partially hydrogenated coconut oil, chocolate liquor, whey powder, salt, calcium caseinate, distilled monoglycerides, artificial flavors, soy lecithin",https://images-na.ssl-images-amazon.com/images/I/81MJsGVhDKL._SX679_.jpg,,,,,,,,,,,,,,,,,,,,,,,
Black Jack Gum,"Sugar, gum base, glucose syrup, artificial licorice flavor, glycerin, soy lecithin, artificial coloring, FD&C blue 2, FD&C red 40, FD&C yellow 6",https://cdn.shopify.com/s/files/1/0972/7116/products/all-city-candy-black-jack-chewing-gum-5-stick-pack-gumbubble-gum-gerrit-j-verburg-candy-1-pack-865580_600x.jpg?v=1557236495,,,,,,,,,,,,,,,,,,,,,,,
Blow Pop,"Sugar, Corn Syrup, Gum Base, Citric Acid, Starch, Artificial Flavors, Glycerin, Artificial Colors, Turmeric Coloring, BHT",https://cdn.candynation.com/media/catalog/product/cache/cc72865156500766af3a4ff9131f02d7/b/l/blow_pop_edit_2_1.jpg,,,,,,,,,,,,,,,,,,,,,,,
Boston Baked Beans,"Sucrose, Peanuts, Corn Syrup, Modified Food Starch, Gum Acacia, Artificial Flavor, Confectioner's Glaze, Carnauba Wax, Red 40, Yellow 5, Yellow 6 and Blue 2",https://www.groovycandies.com/media/catalog/product/cache/1/image/650x/040ec09b1e35df139433887a97daa66f/b/o/boston_baked_beans_candy_2_1_1.jpg,,,,,,,,,,,,,,,,,,,,,,,
Bottle Caps,"Dextrose, Maltodextrin,Calcium Stearate, Malic Acid, Phosphoric Acid, Artificial Flavors, Caramel Color, Blue 1 Lake, Blue 2 Lake, Red 40 Lake, Yellow 5 Lake, Yellow 6 Lake",https://images-na.ssl-images-amazon.com/images/I/91WZkR0jJQL._SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,
Bubble Tape,"SUGAR, GUM BASE, CORN SYRUP,GLYCEROL, CITRIC ACID, NATURAL AND ARTIFICIAL FLAVORS, SOY LECITHIN, ACESULFAME K, ASPARTAME, RED 40, RED 40 LAKE,BHT",https://cdn.shopify.com/s/files/1/0972/7116/products/all-city-candy-hubba-bubba-original-bubble-tape-bubble-gum-6-foot-roll-gumbubble-gum-wrigley-1-roll-551547_600x.jpg?v=1557262127,,,,,,,,,,,,,,,,,,,,,,,
Cadbury Egg,"MILK CHOCOLATE,CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, SUGAR, NONFAT MILK, PALM OIL, ARTIFICIAL FLAVOR, SALT, SOY LECITHIN, SODIUM CARBONATE",https://images-na.ssl-images-amazon.com/images/I/71avIUyOkmL._SL1200_.jpg,,,,,,,,,,,,,,,,,,,,,,,
Candy Buttons,"gelatin, food coloring, and artificial flavors",https://smhttp-ssl-60529.nexcesscdn.net/pub/media/catalog/product/cache/image/700x560/e9c3970ab036de70892d86c6d221abfe/c/a/candy-house-candy-buttons.jpg,,,,,,,,,,,,,,,,,,,,,,,
Candy Cigarettes,"Dextrose, corn starch, corn syrup, tapioca, beef gelatin, artificial flavors",https://cdn.shopify.com/s/files/1/0004/8132/9204/products/candy-cigarettes_1_grande.jpg?v=1522355594,,,,,,,,,,,,,,,,,,,,,,,
Candy Corn,"Sugar, Corn Syrup, Confectioner's Glaze, Salt, Dextrose, Gelatin, Sesame Oil, Artificial Flavor, Honey, Yellow 6, Yellow 5, Red 3",https://upload.wikimedia.org/wikipedia/commons/5/56/Candy-Corn.jpg,,,,,,,,,,,,,,,,,,,,,,,
